Id,Title,Author,Year,Runner,Keywords
1,"The 7 Habits of Highly Effective People",Stephen R. Covey,1989,Self-Help,HABITS;SUCCESS;MOTIVATION
2,"Atomic Habits",James Clear,2018,Self-Help,HABITS;PRODUCTIVITY;SUCCESS
3,"Think and Grow Rich",Napoleon Hill,1937,Self-Help,WEALTH;SUCCESS;FINANCE
4,"Rich Dad Poor Dad",Robert Kiyosaki,1997,Self-Help,FINANCE;INVESTMENT;SUCCESS
5,"Deep Work",Cal Newport,2016,Self-Help,FOCUS;PRODUCTIVITY;WORK
6,"The Power of Habit",Charles Duhigg,2012,Self-Help,HABITS;BEHAVIOR;SUCCESS
7,"The Alchemist",Paulo Coelho,1988,Fiction,INSPIRATIONAL;ADVENTURE
8,"Pride and Prejudice",Jane Austen,1813,Fiction,CLASSIC;ROMANCE;NOVEL
9,"To Kill a Mockingbird",Harper Lee,1960,Fiction,CLASSIC;RACISM;NOVEL
10,"1984",George Orwell,1949,Fiction,DYSTOPIAN;POLITICAL;CLASSIC
11,"The Hobbit",J.R.R. Tolkien,1937,Fiction,FANTASY;ADVENTURE;CLASSIC
12,"Introduction to Algorithms",Thomas H. Cormen,2009,Education,PROGRAMMING;CS;ALGORITHMS
13,"Clean Code",Robert C. Martin,2008,Education,PROGRAMMING;SOFTWARE;PRACTICE
14,"Python Crash Course",Eric Matthes,2015,Education,PYTHON;PROGRAMMING;CODE
15,"The Lean Startup",Eric Ries,2011,Business,STARTUP;ENTREPRENEURSHIP;INNOVATION
16,"Zero to One",Peter Thiel,2014,Business,STARTUP;INNOVATION;ENTREPRENEURSHIP
17,"The Intelligent Investor",Benjamin Graham,1949,Finance,INVESTMENT;STOCKS;WEALTH
18,"A Random Walk Down Wall Street",Burton Malkiel,1973,Finance,STOCKS;INVESTMENT;PORTFOLIO
19,"A Brief History of Time",Stephen Hawking,1988,Science,PHYSICS;UNIVERSE;COSMOLOGY
20,"The Gene",Siddhartha Mukherjee,2016,Science,GENETICS;BIOLOGY;MEDICINE
21,"Thinking, Fast and Slow",Daniel Kahneman,2011,Self-Help,PSYCHOLOGY;DECISION;MIND
22,"The Art of War",Sun Tzu,-500,Self-Help,STRATEGY;WAR;TACTICS
23,"The Catcher in the Rye",J.D. Salinger,1951,Fiction,CLASSIC;TEEN;NOVEL
24,"Brave New World",Aldous Huxley,1932,Fiction,DYSTOPIAN;SCIENCE;CLASSIC
25,"The Lean Mindset",Mary Poppendieck,2013,Business,MANAGEMENT;PRODUCTIVITY;INNOVATION
26,"Principles",Ray Dalio,2017,Finance,INVESTING;SUCCESS;MANAGEMENT
27,"The Subtle Art of Not Giving a F*ck",Mark Manson,2016,Self-Help,MINDSET;HAPPINESS;LIFE
28,"The Four Agreements",Don Miguel Ruiz,1997,Self-Help,SPIRITUALITY;LIFE;WISDOM
29,"Sapiens",Yuval Noah Harari,2011,Science,HISTORY;EVOLUTION;HUMAN
30,"Homo Deus",Yuval Noah Harari,2015,Science,FUTURE;TECHNOLOGY;HUMAN
